date,"Bear River (primary, near Corinne)",Bear River (upstream gap-fill),Weber River (near Plain City),Jordan River (Surplus Canal),Jordan River (1700 South),TOTAL_INFLOW_cfs
1964-06-01,3015.3333333333335,2833.5,1578.8,528.2,86.0,8041.833333333334
1964-07-01,226.67741935483872,96.35483870967742,74.38709677419355,153.70967741935485,93.58064516129032,644.7096774193549
1964-08-01,79.61290322580645,22.741935483870968,44.354838709677416,193.67741935483872,87.38709677419355,427.7741935483871
1964-09-01,125.23333333333333,76.56666666666666,63.43333333333333,183.86666666666667,109.96666666666667,559.0666666666667
1964-10-01,601.3548387096774,539.2903225806451,97.80645161290323,122.45161290322581,120.0,1480.9032258064515
1964-11-01,1000.1,907.9666666666667,130.36666666666667,111.73333333333333,103.86666666666666,2254.0333333333333
1964-12-01,1788.0967741935483,1647.4193548387098,265.3225806451613,161.67741935483872,79.07741935483871,3941.5935483870967
1965-01-01,1715.5483870967741,1599.967741935484,121.38709677419355,142.61290322580646,105.93548387096774,3685.451612903226
1965-02-01,2131.0714285714284,1895.7142857142858,322.67857142857144,151.75,104.53571428571429,4605.75
1965-03-01,1468.8709677419354,1319.483870967742,408.8709677419355,111.74193548387096,109.41935483870968,3418.387096774193
1965-04-01,2690.0,2591.3333333333335,920.2666666666667,171.93333333333334,68.76666666666667,6442.3
1965-05-01,2692.9032258064517,2459.6774193548385,1489.3548387096773,347.7741935483871,74.64516129032258,7064.354838709677
1965-06-01,2064.3333333333335,1909.0,1100.3666666666666,564.1333333333333,127.91000000000001,5765.743333333333
1965-07-01,653.3548387096774,490.7741935483871,209.6451612903226,264.2258064516129,145.83870967741936,1763.8387096774193
1965-08-01,1120.4193548387098,965.483870967742,129.5483870967742,245.0,134.32258064516128,2594.7741935483873
1965-09-01,1751.0,1546.5,407.5,272.8333333333333,132.8,4110.633333333333
1965-10-01,2053.2258064516127,1797.741935483871,348.4193548387097,164.0,141.5483870967742,4504.935483870968
1965-11-01,2445.3333333333335,2208.3333333333335,269.3333333333333,115.46666666666667,129.46666666666667,5167.9333333333325
1965-12-01,2363.548387096774,2137.0967741935483,237.41935483870967,114.48387096774194,133.41935483870967,4985.967741935482
1966-01-01,2437.4193548387098,2210.3225806451615,177.09677419354838,132.09677419354838,133.8709677419355,5090.806451612903
1966-02-01,2418.214285714286,2202.1428571428573,103.57142857142857,272.89285714285717,159.67857142857142,5156.5
1966-03-01,2917.0967741935483,2654.516129032258,356.0,256.6774193548387,147.48387096774192,6331.774193548387
1966-04-01,2666.6666666666665,2415.766666666667,105.06666666666666,122.93333333333334,130.53333333333333,5440.966666666667
1966-05-01,1413.9354838709678,1140.3225806451612,126.70967741935483,259.7741935483871,149.93548387096774,3090.677419354838
1966-06-01,120.86666666666666,26.266666666666666,63.7,174.23333333333332,159.1,544.1666666666666
1966-07-01,112.25806451612904,21.451612903225808,31.741935483870968,133.8709677419355,145.90322580645162,445.2258064516129
1966-08-01,88.70967741935483,21.0,33.25806451612903,147.1290322580645,148.5483870967742,438.6451612903226
1966-09-01,144.1,81.86666666666666,57.9,211.53333333333333,154.56666666666666,649.9666666666667
1966-10-01,489.64516129032256,402.9032258064516,112.70967741935483,164.90322580645162,156.32258064516128,1326.483870967742
1966-11-01,815.7333333333333,735.4666666666667,115.5,95.13333333333334,120.3,1882.1333333333334
1966-12-01,983.2258064516129,884.3870967741935,122.16129032258064,101.09677419354838,115.64516129032258,2206.516129032258
1967-01-01,1060.6451612903227,984.5806451612904,109.87096774193549,84.48387096774194,133.6451612903226,2373.225806451613
1967-02-01,1117.5,1014.5,120.71428571428571,106.53571428571429,137.92857142857142,2497.1785714285716
1967-03-01,1585.225806451613,1421.8387096774193,143.83870967741936,81.38709677419355,130.67741935483872,3362.967741935484
1967-04-01,2240.0,2061.0,126.93333333333334,97.23333333333333,131.96666666666667,4657.133333333333
1967-05-01,2953.548387096774,2860.3225806451615,497.0,387.2903225806452,100.74193548387096,6798.903225806452
1967-06-01,3458.6666666666665,3171.0,1322.2,647.8,121.36666666666666,8721.033333333333
1967-07-01,796.741935483871,513.5806451612904,108.87096774193549,240.61290322580646,132.0,1791.8064516129034
1967-08-01,872.483870967742,682.6451612903226,43.774193548387096,154.6451612903226,148.32258064516128,1901.8709677419354
1967-09-01,1123.5333333333333,907.2333333333333,87.23333333333333,228.0,164.66666666666666,2510.6666666666665
1967-10-01,1737.1935483870968,1456.9354838709678,308.83870967741933,162.4516129032258,150.58064516129033,3816.0
1967-11-01,2024.0,1743.6666666666667,310.76666666666665,126.43333333333334,119.4,4324.266666666666
1967-12-01,1881.9354838709678,1622.1935483870968,366.51612903225805,127.83870967741936,120.25806451612904,4118.741935483871
1968-01-01,1904.8387096774193,1523.967741935484,299.51612903225805,117.7741935483871,116.16129032258064,3962.2580645161293
1968-02-01,1623.103448275862,1334.8620689655172,117.82758620689656,139.9655172413793,121.34482758620689,3337.103448275863
1968-03-01,2389.6774193548385,2044.516129032258,170.70967741935485,271.51612903225805,130.41935483870967,5006.8387096774195
1968-04-01,2013.3333333333333,1742.6666666666667,209.83333333333334,369.1666666666667,159.76666666666668,4494.766666666666
1968-05-01,1035.0,793.8064516129032,441.6774193548387,364.258064516129,91.6774193548387,2726.4193548387098
1968-06-01,1807.1666666666667,1497.8666666666666,867.4,597.9,128.2,4898.533333333333
1968-07-01,113.16129032258064,22.06451612903226,81.35483870967742,201.29032258064515,163.5483870967742,581.4193548387098
1968-08-01,677.0322580645161,493.4516129032258,181.06451612903226,277.06451612903226,158.29032258064515,1786.9032258064515
1968-09-01,325.1666666666667,199.26666666666668,134.13333333333333,218.8,166.43333333333334,1043.8000000000002
1968-10-01,1141.6451612903227,1011.4193548387096,323.48387096774195,200.0,153.06451612903226,2829.6129032258063
1968-11-01,1871.5,1649.5666666666666,428.1,186.1,145.16666666666666,4280.433333333333
1968-12-01,1846.1290322580646,1644.8387096774193,484.0967741935484,284.2903225806452,153.70967741935485,4413.064516129032
1969-01-01,2604.1935483870966,2240.0,644.1290322580645,392.1290322580645,157.83870967741936,6038.290322580645
1969-02-01,2114.285714285714,1846.0714285714287,718.7142857142857,536.6785714285714,181.53571428571428,5397.285714285715
1969-03-01,2808.3870967741937,2488.064516129032,1991.9354838709678,578.7741935483871,159.80645161290323,8026.967741935484
1969-04-01,4259.0,3916.0,1523.6666666666667,662.6333333333333,124.9,10486.199999999999
1969-05-01,2041.6451612903227,1694.4516129032259,1354.8709677419354,442.741935483871,113.19354838709677,5646.903225806452
1969-06-01,716.9333333333333,547.7333333333333,386.03333333333336,519.6333333333333,126.13333333333334,2296.4666666666662
1969-07-01,439.2258064516129,233.38709677419354,138.83870967741936,202.7741935483871,160.03225806451613,1174.258064516129
1969-08-01,125.41935483870968,22.64516129032258,71.25806451612904,187.16129032258064,166.6451612903226,573.1290322580645
1969-09-01,231.76666666666668,101.4,89.66666666666667,201.4,174.66666666666666,798.9
1969-10-01,1006.5483870967741,822.4516129032259,300.80645161290323,259.06451612903226,184.03225806451613,2572.9032258064517
1969-11-01,1422.4666666666667,1247.8333333333333,391.93333333333334,234.36666666666667,181.16666666666666,3477.766666666667
1969-12-01,1649.3548387096773,1388.967741935484,190.70967741935485,325.96774193548384,193.8709677419355,3748.870967741935
1970-01-01,1968.7096774193549,1590.1612903225807,276.93548387096774,473.38709677419354,178.19354838709677,4487.387096774193
1970-02-01,1519.642857142857,1239.7142857142858,121.92857142857143,575.25,144.21428571428572,3600.7500000000005
1970-03-01,1368.1935483870968,1193.1935483870968,139.3548387096774,551.3870967741935,134.3548387096774,3386.4838709677424
1970-04-01,1340.0,1210.5666666666666,247.23333333333332,399.0,124.03333333333333,3320.833333333333
1970-05-01,2038.741935483871,1774.4193548387098,799.4193548387096,547.0967741935484,86.48387096774194,5246.16129032258
1970-06-01,1615.1,1293.9333333333334,752.7666666666667,555.7333333333333,136.16666666666666,4353.700000000001
1970-07-01,108.12903225806451,29.774193548387096,76.96774193548387,233.4516129032258,157.58064516129033,605.9032258064516
1970-08-01,101.90322580645162,23.677419354838708,68.12903225806451,168.74193548387098,160.90322580645162,523.3548387096774
1970-09-01,404.3333333333333,284.7,504.1333333333333,277.23333333333335,181.96666666666667,1652.3666666666666
1970-10-01,1114.0967741935483,905.1290322580645,423.51612903225805,229.96774193548387,139.70967741935485,2812.4193548387093
1970-11-01,1173.0,1176.9666666666667,382.3,182.43333333333334,153.73333333333332,3068.4333333333334
