date,"Bear River (primary, near Corinne)_acft",Bear River (upstream gap-fill)_acft,Weber River (near Plain City)_acft,Jordan River (Surplus Canal)_acft,Jordan River (1700 South)_acft,TOTAL_INFLOW_cfs_acft
1966-02-01,134302.785,122302.61000000002,5752.15,15155.923500000003,8868.2285,286381.69700000004
1966-03-01,179367.905,163222.215,21889.906,15782.7095,9068.562,389331.29750000004
1966-04-01,158680.0,143750.19550000003,6251.992,7315.148,7767.386,323764.72150000004
1966-05-01,86940.77200000001,70116.72499999999,7791.188000000001,15973.125499999998,9219.308,190041.11849999998
1966-06-01,7192.171,1562.998,3790.4685000000004,10367.7545,9467.2455,32380.6375
1966-07-01,6902.580000000001,1319.0275000000001,1951.7640000000001,8231.525,8971.3705,27376.267000000003
1966-08-01,5454.625,1291.2585000000001,2044.9885000000002,9046.7435,9134.017500000002,26971.633
1966-09-01,8574.6705,4871.476,3445.3395,12587.291000000001,9197.4895,38676.266500000005
1966-10-01,30107.5465,24773.915,6930.349000000001,10139.652,9612.041,81563.5035
1966-11-01,48540.212,43763.944,6872.8275,5660.909000000001,7158.4515,111996.34400000003
1966-12-01,60457.079999999994,54379.636,7511.5145,6216.289,7110.8475,135675.367
1967-01-01,65217.480000000025,60540.387,6755.8009999999995,5194.7865,8217.640500000001,145926.09500000003
1967-02-01,62063.715000000004,56343.30100000001,6704.2300000000005,5916.7805,7660.277,138688.3035
1967-03-01,97473.157,87426.7295,8844.426500000001,5004.3705,8035.1585000000005,206783.842
1967-04-01,133291.2,122639.80500000001,7553.168000000001,5785.8695,7852.6765000000005,277122.719
1967-05-01,181609.26,175876.945,30559.7845,23813.901,6194.470499999999,418054.36100000003
1967-06-01,205807.96,188690.355,78677.51100000001,38547.339,7221.9235,518945.0885
1967-07-01,48990.4665,31579.3035,6694.3125,14794.926500000003,8116.482,110175.49100000001
1967-08-01,53647.724500000004,41974.827,2691.6095,9508.899000000001,9120.133,116943.19299999998
1967-09-01,66855.851,53984.919499999996,5190.8195000000005,13567.140000000001,9798.49,149397.22
1967-10-01,106817.42550000001,89584.77750000001,18990.029,9988.905999999999,9258.978,234640.116
1967-11-01,120438.12000000001,103756.88500000001,18492.1705,7523.415500000001,7104.897000000001,257315.48799999998
1967-12-01,115717.39000000001,99746.248,22536.527000000002,7860.610500000001,7394.488,253255.26350000003
1968-01-01,117125.675,93706.4905,18416.7975,7241.758500000001,7142.5835,243633.30500000005
1968-02-01,93363.345,76783.2685,6777.619500000001,8051.0265,6979.936499999999,191955.19600000005
